STDEV,Strain,DESeq
NCU03853,NCU07543,NCU08518
NCU07468,NCU08791,NCU10538
NCU09117,NCU04935,NCU07811
NCU04744,NCU07582,NCU05057
NCU07818,NCU04850,NCU06424
NCU11416,NCU05785,NCU03131
NCU03993,NCU02701,NCU08739
NCU06513,NCU02139,NCU01935
NCU03534,NCU06148,NCU01041
NCU11195,NCU06217,NCU09647
NCU03670,NCU01612,NCU06018
NCU04452,NCU09923,NCU00923
NCU09931,NCU06118,NCU05842
NCU12034,NCU01760,NCU06328
NCU07697,NCU16457,NCU04854
NCU05548,NCU10911,NCU08539
NCU07207,NCU03646,NCU07298
NCU06314,NCU00611,NCU11041
NCU02152,NCU09756,NCU06131
NCU02369,NCU05064,NCU04801
NCU07723,NCU09425,NCU07891
NCU07349,NCU03952,NCU01821
NCU06652,NCU05791,NCU07730
NCU03214,NCU05859,NCU06062
NCU09517,NCU09187,NCU00992
NCU07797,NCU05978,NCU05964
NCU08171,NCU06459,NCU01373
NCU07465,NCU04576,NCU09200
NCU06256,NCU05201,NCU00863
NCU04154,NCU06373,NCU01567
NCU01493,NCU09629,NCU07166
NCU00185,NCU01311,NCU07583
NCU04921,NCU05151,NCU05756
NCU08190,NCU04650,NCU05104
NCU02757,NCU09406,NCU07064
NCU01347,NCU06608,NCU08671
NCU03830,NCU07050,NCU01573
NCU08429,NCU04096,NCU07448
NCU10965,NCU00206,NCU01898
NCU03043,NCU09296,NCU02227
NCU06081,NCU03669,NCU04419
NCU10037,NCU08558,NCU04556
NCU00349,NCU00406,NCU04443
NCU08746,NCU00492,NCU01652
NCU03404,NCU02223,NCU06613
NCU01849,NCU03355,NCU05668
NCU02360,NCU07192,NCU06341
NCU06811,NCU10359,NCU01195
NCU08185,NCU06557,NCU11395
NCU05501,NCU00629,NCU05192
NCU00304,NCU03079,NCU08447
NCU03433,NCU06928,NCU08872
NCU00158,NCU01572,NCU04025
NCU05074,NCU06963,NCU04539
NCU05841,NCU03648,NCU04823
NCU07132,NCU00331,NCU04262
NCU01071,NCU09847,NCU07987
NCU07804,NCU09196,NCU05916
NCU15830,NCU09860,NCU07112
NCU02226,NCU07487,NCU03173
NCU10015,NCU08281,NCU09350
NCU08031,NCU09384,NCU02302
NCU01967,NCU01917,NCU01748
NCU06979,NCU04343,NCU11342
NCU02584,NCU04223,NCU07034
NCU08326,NCU09906,NCU07604
NCU08156,NCU08901,NCU16496
NCU09430,NCU07894,NCU05887
NCU01306,NCU05301,NCU07140
NCU08398,NCU07745,NCU02597
NCU10019,NCU04632,NCU09538
NCU01879,NCU05268,NCU06773
NCU04597,NCU03062,NCU04029
NCU09924,NCU00282,NCU09451
NCU01704,NCU00085,NCU04168
NCU06198,NCU06857,NCU07157
NCU05992,NCU00730,NCU03347
NCU06981,NCU09188,NCU10051
NCU04285,NCU03032,NCU00898
NCU06417,NCU03121,NCU06505
NCU07379,NCU03235,NCU01068
NCU07080,NCU10027,NCU02271
NCU04085,NCU00241,NCU01118
NCU02886,NCU03571,NCU09971
NCU08380,NCU03767,NCU07253
NCU10865,NCU00104,NCU05499
NCU11287,NCU04674,NCU08669
NCU07141,NCU00793,NCU09613
NCU02005,NCU06050,NCU05060
NCU09800,NCU10470,NCU02042
NCU01869,NCU08697,NCU09864
NCU00666,NCU01033,NCU02712
NCU02771,NCU07525,NCU01692
NCU02887,NCU09812,NCU08161
NCU07649,NCU09253,NCU04499
NCU05419,NCU09729,NCU08790
NCU04099,NCU08045,NCU09852
NCU02190,NCU00717,NCU06619
NCU09487,NCU05265,NCU01032
NCU16699,NCU16490,NCU09470
NCU08434,NCU00984,NCU05143
NCU04897,NCU08049,NCU05855
NCU02954,NCU03814,NCU10351
NCU08383,NCU03437,NCU04421
NCU09428,NCU03305,NCU03231
NCU11382,NCU06067,NCU09904
NCU04323,NCU05183,NCU09402
NCU03322,NCU01386,NCU01111
NCU00980,NCU03622,NCU09311
NCU05203,NCU06752,NCU01487
NCU06801,NCU00400,NCU03730
NCU00270,NCU00251,NCU00130
NCU03761,NCU06598,NCU02549
NCU06782,NCU02295,NCU05387
NCU08173,NCU01466,NCU09733
NCU05306,NCU00430,NCU03755
NCU08293,NCU04623,NCU09767
NCU04754,NCU02853,NCU16370
NCU07066,NCU03360,NCU04734
NCU17263,NCU08700,NCU16890
NCU09498,NCU00941,NCU03254
NCU08855,NCU06868,NCU03985
NCU08268,NCU02319,NCU08842
NCU11367,NCU09449,NCU08154
NCU09161,NCU02284,NCU04395
NCU02577,NCU05603,NCU05883
NCU08768,NCU09472,NCU06166
NCU00518,NCU04851,NCU08229
NCU07124,NCU08147,NCU09237
NCU00886,NCU04570,NCU01065
NCU08516,NCU07966,NCU02126
NCU09718,NCU09903,NCU06658
NCU05762,NCU05246,NCU04503
NCU10932,NCU05260,NCU06387
NCU08736,NCU08658,NCU03513
NCU06467,NCU05046,NCU07271
NCU02850,NCU09031,NCU00741
NCU07703,NCU10905,NCU05886
NCU06576,NCU05754,NCU01355
NCU01057,NCU04348,NCU03153
NCU01546,NCU05013,NCU02479
NCU06691,NCU02276,NCU02486
NCU02322,NCU02928,NCU07959
NCU01972,NCU02612,NCU09680
NCU00422,NCU03550,NCU05888
NCU07887,NCU02354,NCU05304
NCU10847,NCU00550,NCU08953
NCU04473,NCU04767,NCU07860
NCU00246,NCU06908,NCU09151
NCU04347,NCU08696,NCU06783
NCU03501,NCU01349,NCU08793
NCU08667,NCU01932,NCU05156
NCU00994,NCU08021,NCU01769
NCU01830,NCU07029,NCU06497
NCU08699,NCU04615,NCU07478
NCU05272,NCU06583,NCU09170
NCU05161,NCU02324,NCU09702
NCU01337,NCU05891,NCU16898
NCU01165,NCU09482,NCU02310
NCU00651,NCU08701,NCU17186
NCU00318,NCU02750,NCU02536
NCU06412,NCU04095,NCU00472
NCU00792,NCU08487,NCU09631
NCU06551,NCU07546,NCU10436
NCU07597,NCU01176,NCU03710
NCU01866,NCU08064,NCU02060
NCU04832,NCU04569,NCU00861
NCU03388,NCU04661,NCU03793
NCU09646,NCU02057,NCU04762
NCU06978,NCU01009,NCU04817
NCU06193,NCU02184,NCU05843
NCU07548,NCU02994,NCU09649
NCU07302,NCU04736,NCU09535
NCU00884,NCU06696,NCU16568
NCU01950,NCU04321,NCU02216
NCU09533,NCU07484,NCU00338
NCU03913,NCU00124,NCU03415
NCU09230,NCU05591,NCU07094
NCU01459,NCU01632,NCU01074
NCU07883,NCU05502,NCU02650
NCU02639,NCU08420,NCU00576
NCU05838,NCU08358,NCU09173
NCU01717,NCU08056,NCU06159
NCU00827,NCU03776,NCU02031
NCU05012,NCU08565,NCU07053
NCU07621,NCU04105,NCU08715
NCU04941,NCU04254,NCU05818
NCU05625,NCU01315,NCU06474
NCU07914,NCU04021,NCU05699
NCU09108,NCU01789,NCU00845
NCU04368,NCU01105,NCU02665
NCU00973,NCU11138,NCU06220
NCU00522,NCU06272,NCU02926
NCU04796,NCU07412,NCU04078
NCU06315,NCU06930,NCU08272
NCU08731,NCU03844,NCU02542
NCU11368,NCU01910,NCU05381
NCU01592,NCU07863,NCU04550
NCU09738,NCU03584,NCU09456
NCU01629,NCU07949,NCU05216
NCU07695,NCU14148,NCU07532
NCU07876,NCU16019,NCU09698
NCU08291,NCU16005,NCU09518
NCU16657,NCU16004,NCU01083
NCU06949,NCU14011,NCU07742
NCU03158,NCU14077,NCU05909
NCU04091,NCU17319,NCU06273
NCU06310,NCU14081,NCU05680
NCU04506,NCU14089,NCU00604
NCU05882,NCU14042,NCU08643
NCU02438,NCU15152,NCU06366
NCU00465,NCU14147,NCU00687
NCU07180,NCU15398,NCU10036
NCU07422,NCU14086,NCU00813
NCU06807,NCU15209,NCU02883
NCU09676,NCU14061,NCU02849
NCU07133,,NCU03174
NCU08472,,NCU02046
NCU06165,,NCU00076
NCU02014,,NCU15836
NCU02400,,NCU05157
NCU00710,,NCU02749
NCU03280,,NCU17115
NCU06286,,NCU05884
NCU11331,,NCU02692
NCU09988,,NCU03257
NCU08624,,NCU00605
NCU07917,,NCU00732
NCU03057,,NCU00293
NCU08863,,NCU00906
NCU03092,,NCU03518
NCU03198,,NCU05848
NCU05537,,NCU00987
NCU07385,,NCU07305
NCU08111,,NCU09210
NCU09497,,NCU00951
NCU00787,,NCU11288
NCU06964,,NCU08354
NCU06983,,NCU08167
NCU09732,,NCU08862
NCU05821,,NCU06611
NCU08048,,NCU08998
NCU00676,,NCU02879
NCU07993,,NCU04013
NCU01846,,NCU09050
NCU04997,,NCU01512
NCU05142,,NCU02228
NCU09656,,NCU03698
NCU05953,,NCU11295
NCU05420,,NCU04474
NCU02326,,NCU02188
NCU00655,,NCU09635
NCU06543,,NCU07234
NCU05594,,NCU05045
NCU01905,,NCU08924
NCU07452,,NCU02252
NCU03408,,NCU05430
NCU09076,,NCU05519
NCU02352,,NCU07362
NCU00056,,NCU01209
NCU04932,,NCU03931
NCU06125,,NCU05597
NCU02291,,NCU06803
NCU06655,,NCU02797
NCU04765,,NCU10011
NCU07022,,NCU01593
NCU07001,,NCU06006
NCU08900,,NCU08531
NCU03737,,NCU09715
NCU11278,,NCU02259
NCU10042,,NCU01868
NCU08518,,NCU00742
NCU10538,,NCU10512
NCU07811,,NCU00536
NCU05057,,NCU05899
NCU06424,,NCU03082
NCU03131,,NCU07008
NCU08739,,NCU09654
NCU01935,,NCU00620
NCU01041,,NCU07218
NCU06319,,NCU07312
NCU09647,,NCU08005
NCU06018,,NCU08232
NCU00923,,NCU09185
NCU06552,,NCU05193
NCU06328,,NCU06637
NCU04854,,NCU08716
NCU07298,,NCU06327
NCU11041,,NCU04619
NCU06131,,NCU09677
NCU04801,,NCU05114
NCU16321,,NCU03197
NCU04645,,NCU06745
NCU07891,,NCU02207
NCU01821,,NCU05196
NCU05964,,NCU07489
NCU01664,,NCU06266
NCU01373,,NCU04672
NCU09200,,NCU01633
NCU00863,,NCU15829
NCU03748,,NCU09155
NCU01567,,NCU02690
NCU07166,,NCU07153
NCU05756,,NCU09569
NCU09260,,NCU02535
NCU05104,,NCU05278
NCU07064,,NCU10008
NCU08671,,NCU08545
NCU05004,,NCU09771
NCU03512,,NCU02732
NCU01573,,NCU07623
NCU07448,,NCU09163
NCU01898,,NCU08112
NCU05233,,NCU00936
NCU02227,,NCU08687
NCU04419,,NCU06316
NCU04556,,NCU04435
NCU04443,,NCU08152
NCU01652,,NCU00988
NCU00157,,NCU00122
NCU08188,,NCU06666
NCU03922,,NCU01715
NCU06613,,NCU07332
NCU05668,,NCU07849
NCU06341,,NCU06895
NCU01195,,NCU01843
NCU11395,,NCU07508
NCU08507,,NCU09486
NCU05192,,NCU08634
NCU08447,,NCU01309
NCU08872,,NCU02927
NCU04025,,NCU05598
NCU04539,,NCU06525
NCU04823,,NCU09640
NCU02121,,NCU01356
NCU04262,,NCU00035
NCU07987,,NCU11362
NCU08347,,NCU03667
NCU05916,,NCU10007
NCU07112,,NCU02852
NCU03173,,NCU07517
NCU07165,,NCU16968
NCU05133,,NCU08524
NCU09350,,NCU07079
NCU02302,,NCU10276
NCU01748,,NCU09709
NCU11342,,NCU05968
NCU07034,,NCU07037
NCU07604,,NCU09022
NCU16496,,NCU07567
NCU05006,,NCU05627
NCU07140,,NCU04049
NCU02597,,NCU04132
NCU09538,,NCU09424
NCU06773,,NCU07072
NCU04029,,NCU07864
NCU09451,,NCU02936
NCU05384,,NCU03980
NCU09792,,NCU03066
NCU09522,,NCU05069
NCU04168,,NCU02514
NCU01490,,NCU06462
NCU07157,,NCU07063
NCU03347,,NCU03154
NCU10051,,NCU07156
NCU00898,,NCU07202
NCU06505,,NCU02110
NCU05288,,NCU08521
NCU12112,,NCU17083
NCU02271,,NCU09955
NCU01118,,NCU10058
NCU05067,,NCU01731
NCU09971,,NCU05735
NCU07253,,NCU05819
NCU05499,,NCU03188
NCU08669,,NCU09843
NCU08733,,NCU07607
NCU02552,,NCU08145
NCU09613,,NCU08128
NCU05426,,NCU06305
NCU05060,,NCU07798
NCU02042,,NCU00684
NCU09864,,NCU16599
NCU02712,,NCU00937
NCU01692,,NCU05957
NCU04407,,NCU09907
NCU01154,,NCU07334
NCU08161,,NCU07281
NCU04499,,NCU04415
NCU06951,,NCU02704
NCU08790,,NCU04532
NCU11345,,NCU07839
NCU06619,,NCU07343
NCU02644,,NCU00844
NCU01032,,NCU08050
NCU09470,,NCU03686
NCU05143,,NCU05585
NCU05855,,NCU04448
NCU07464,,NCU02296
NCU10351,,NCU08864
NCU04421,,NCU07129
NCU03231,,NCU01170
NCU11365,,NCU11306
NCU09904,,NCU09153
NCU09402,,NCU01336
NCU01111,,NCU02035
NCU09311,,NCU06917
NCU01487,,NCU04194
NCU03730,,NCU09958
NCU00130,,NCU06574
NCU02549,,NCU01985
NCU05387,,NCU07175
NCU09733,,NCU01589
NCU03755,,NCU04359
NCU02727,,NCU09156
NCU09767,,NCU02383
NCU16370,,NCU02397
NCU04734,,NCU09831
NCU05259,,NCU08980
NCU16890,,NCU02236
NCU08127,,NCU08069
NCU03985,,NCU00714
NCU08842,,NCU09349
NCU01880,,NCU10904
NCU08154,,NCU04418
NCU04395,,NCU09352
NCU05883,,NCU02058
NCU02746,,NCU01856
NCU09237,,NCU05979
NCU01065,,NCU07083
NCU02126,,NCU04303
NCU06658,,NCU08747
NCU06187,,NCU09174
NCU04503,,NCU09186
NCU06387,,NCU00648
NCU03513,,NCU00630
NCU07271,,NCU04547
NCU00741,,NCU09266
NCU01355,,NCU08905
NCU03153,,NCU06985
NCU02479,,NCU06153
NCU05195,,NCU07668
NCU07959,,NCU06005
NCU09680,,NCU05938
NCU07355,,NCU00916
NCU09183,,NCU09232
NCU05304,,NCU00653
NCU08953,,NCU10810
NCU07860,,NCU09639
NCU04312,,NCU09564
NCU02957,,NCU11341
NCU09151,,NCU08662
NCU06057,,NCU07231
NCU02109,,NCU01882
NCU06783,,NCU01753
NCU08793,,NCU05043
NCU05156,,NCU00552
NCU01769,,NCU05453
NCU06497,,NCU10239
NCU07478,,NCU06117
NCU05624,,NCU06351
NCU09648,,NCU01812
NCU04273,,NCU08967
NCU09170,,NCU01976
NCU09702,,NCU07861
NCU09621,,NCU03255
NCU16898,,NCU04454
NCU02310,,NCU03076
NCU17186,,NCU04396
NCU02536,,NCU00585
NCU03316,,NCU02885
NCU00472,,NCU06894
NCU03191,,NCU05307
NCU09521,,NCU04130
NCU09631,,NCU06194
NCU07552,,NCU06443
NCU10436,,NCU08307
NCU03710,,NCU03699
NCU02060,,NCU00678
NCU00861,,NCU10344
NCU03793,,NCU07262
NCU04762,,NCU09102
NCU04817,,NCU09873
NCU05843,,NCU04267
NCU05932,,NCU10156
NCU09649,,NCU02267
NCU09535,,NCU02512
NCU16568,,NCU06235
NCU02216,,NCU05835
NCU00338,,NCU09308
NCU03415,,NCU04110
NCU07094,,NCU10675
NCU01074,,NCU07342
NCU02650,,NCU06523
NCU00144,,NCU08771
NCU00576,,NCU06106
NCU06159,,NCU09026
NCU00782,,NCU00306
NCU02031,,NCU07241
NCU07053,,NCU06358
NCU08715,,NCU01059
NCU05818,,NCU05850
NCU03903,,NCU04625
NCU08425,,NCU02625
NCU05699,,NCU07030
NCU03129,,NCU02213
NCU05970,,NCU03741
NCU02337,,NCU05836
NCU02665,,NCU08480
NCU06220,,NCU06918
NCU03950,,NCU05782
NCU02926,,NCU07802
NCU04078,,NCU10304
NCU08272,,NCU16336
NCU02542,,NCU10003
NCU09823,,NCU06582
NCU04550,,NCU02580
NCU09456,,NCU07533
NCU07532,,NCU08749
NCU04047,,NCU01752
NCU02191,,NCU04346
NCU09698,,NCU01038
NCU09518,,NCU05042
NCU01083,,NCU09526
NCU07742,,NCU03759
NCU05909,,NCU02239
NCU06273,,NCU08148
NCU05680,,NCU06725
NCU00604,,NCU02127
NCU08643,,NCU10314
NCU02407,,NCU04322
NCU06366,,NCU00711
NCU00687,,NCU09024
NCU10036,,NCU07622
NCU00813,,NCU05343
NCU04636,,NCU02558
NCU04568,,NCU02182
NCU02883,,NCU01000
NCU02849,,NCU06189
NCU03174,,NCU05079
NCU02046,,NCU09805
NCU00076,,NCU09212
NCU15836,,NCU11312
NCU05157,,NCU07740
NCU17115,,NCU04060
NCU05034,,NCU06618
NCU06815,,NCU08983
NCU00911,,NCU04484
NCU02692,,NCU06847
NCU04554,,NCU08418
NCU03257,,NCU01115
NCU00605,,NCU16724
NCU00732,,NCU02022
NCU00293,,NCU03978
NCU04313,,NCU04732
NCU04212,,NCU01319
NCU00906,,NCU04367
NCU03518,,NCU03509
NCU05848,,NCU07062
NCU00987,,NCU07970
NCU07305,,NCU03215
NCU09210,,NCU02070
NCU00951,,NCU05683
NCU11288,,NCU06804
NCU08354,,NCU00967
NCU08515,,NCU09069
NCU08167,,NCU03325
NCU06052,,NCU04789
NCU08862,,NCU06864
NCU06611,,NCU09038
NCU08998,,NCU02087
NCU01927,,NCU04768
NCU02879,,NCU09602
NCU04013,,NCU02783
NCU09050,,NCU09025
NCU02024,,NCU09240
NCU01512,,NCU04638
NCU02228,,NCU05980
NCU03352,,NCU03992
NCU03975,,NCU03779
NCU11295,,NCU02796
NCU04474,,NCU07235
NCU04809,,NCU03240
NCU02188,,NCU11286
NCU07234,,NCU07724
NCU05045,,NCU12026
NCU08924,,NCU08556
NCU02252,,NCU05873
NCU05430,,NCU11222
NCU08366,,NCU07544
NCU05519,,NCU06312
NCU07362,,NCU02906
NCU01209,,NCU09287
NCU03931,,NCU00466
NCU05597,,NCU03023
NCU06803,,NCU03868
NCU02797,,NCU05918
NCU06870,,NCU11187
NCU10011,,NCU05830
NCU07340,,NCU03462
NCU01593,,NCU05767
NCU08935,,NCU01012
NCU04118,,NCU09641
NCU05722,,NCU07020
NCU06006,,NCU01517
NCU08531,,NCU00447
NCU09715,,NCU00925
NCU02259,,NCU08737
NCU01665,,NCU05315
NCU01868,,NCU04813
NCU00742,,NCU05289
NCU00536,,NCU02600
NCU09770,,NCU04397
NCU03082,,NCU11000
NCU07008,,NCU06339
NCU09654,,NCU04557
NCU00620,,NCU08693
NCU09152,,NCU17030
NCU07218,,NCU06785
NCU07312,,NCU02343
NCU08005,,NCU07333
NCU00892,,NCU05225
NCU08232,,NCU01494
NCU09185,,NCU02175
NCU05193,,NCU08117
NCU06637,,NCU05546
NCU06327,,NCU06681
NCU04619,,NCU09037
NCU09677,,NCU08226
NCU05114,,NCU01214
NCU03197,,NCU05925
NCU06745,,NCU10687
NCU02207,,NCU04591
NCU02663,,NCU07905
NCU05196,,NCU02913
NCU05580,,NCU09380
NCU07489,,NCU00829
NCU06266,,NCU03533
NCU04672,,NCU03725
NCU01633,,NCU06735
NCU06384,,NCU09716
NCU15829,,NCU11383
NCU09155,,NCU06675
NCU02690,,NCU01758
NCU07153,,NCU08962
NCU00754,,NCU09172
NCU05278,,NCU01911
NCU10008,,NCU00180
NCU09771,,NCU03861
NCU02732,,NCU00943
NCU07623,,NCU08019
NCU09163,,NCU04391
NCU08112,,NCU00081
NCU00936,,NCU01104
NCU08687,,NCU09017
NCU03117,,NCU01066
NCU06316,,NCU06759
NCU04435,,NCU03398
NCU08152,,NCU09634
NCU00988,,NCU04455
NCU00122,,NCU06521
NCU04299,,NCU07077
NCU06666,,NCU05990
NCU01715,,NCU05518
NCU07332,,NCU09909
NCU07849,,NCU05429
NCU01781,,NCU04142
NCU06895,,NCU06687
NCU01843,,NCU00201
NCU07508,,NCU02336
NCU09486,,NCU08230
NCU08634,,NCU05516
NCU01309,,NCU01378
NCU02927,,NCU09782
NCU05598,,NCU05632
NCU06525,,NCU00277
NCU01356,,NCU02699
NCU00035,,NCU08850
NCU11362,,NCU06374
NCU03667,,NCU05637
NCU10007,,NCU06860
NCU10360,,NCU09171
NCU07517,,NCU03426
NCU08909,,NCU00932
NCU16968,,NCU00118
NCU08767,,NCU10258
NCU08524,,NCU02585
NCU07769,,NCU10647
NCU07079,,NCU06862
NCU05829,,NCU09209
NCU10276,,NCU05866
NCU09709,,NCU04478
NCU05968,,NCU08641
NCU09022,,NCU07731
NCU05805,,NCU00110
NCU07567,,NCU00870
NCU05627,,NCU05016
NCU04132,,NCU00689
